stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
differentiation retinal	retinal differentiation	retinal differentiation	2	4,72091812914	30,4705252852	194,807852896	4,0	99,0	 
cell molecule surface	cell surface molecules	cell surface molecules|&|molecules at the cell surface	3	3,9714236158	24,709315429	506,827558828	2,0	26,0	 
interneuron mouse novel p2-derived specification spinal subtype ventral	specification of a novel p2-derived interneuron subtype in the mouse ventral spinal	specification of a novel p2-derived interneuron subtype in the mouse ventral spinal	12	3,9714236158	24,709315429	250,366819111	2,0	18,0	 
cell density	cell density	cell density|&|cell densities	2	4,72091812914	28,5563577056	327,414099661	9,0	153,0	 
control expression	expression control	expression control|&|control of expression|&|control of the expression	2	6,29455750551	36,2643122592	125,774199064	4,0	85,0	 
biopsy needle	needle biopsy	needle biopsy	2	4,72091812914	28,5563577056	398,104354092	6,0	72,0	 
biosynthesis glycoprotein major pellucida zona	Biosynthesis of the major zona pellucida glycoprotein	Biosynthesis of the major zona pellucida glycoprotein	7	3,9714236158	24,709315429	343,370481574	2,0	9,0	 
kinase protein	protein kinase	protein kinase|&|protein kinases|&|Protein kinase	2	64,5192144315	235,559902687	169,082190372	52,0	843,0	 
function immune	immune function	immune function|&|immune functions	2	4,72091812914	30,4705252852	345,274448421	2,0	32,0	 
Radioguided selective surgery	Radioguided surgery and selective	Radioguided surgery and selective	4	3,9714236158	24,709315429	329,699796097	2,0	25,0	 
acid effect retinoic similar	similar effects as retinoic acid	similar effects as retinoic acid	5	3,9714236158	24,709315429	573,656288105	2,0	34,0	 
axilla positive	positive axillae	positive axillae|&|positive axilla	2	7,86819688189	43,5746529293	117,981276773	5,0	75,0	 
factor important prognostic	important prognostic factor	important prognostic factor|&|important prognostic factors	3	25,8142535027	112,291374387	271,9631962	15,0	250,0	 
biopsy detection lymph melanoma metastatic node pediatric sentinel	detection of metastatic melanoma in pediatric sentinel lymph node biopsies	detection of metastatic melanoma in pediatric sentinel lymph node biopsies	10	3,9714236158	24,709315429	85,2875490183	2,0	27,0	 
curdlan gel	curdlan gels	curdlan gels	2	6,29455750551	44,9904218348	130,127101332	1,0	13,0	 
accuracy overall	overall accuracy	overall accuracy	2	14,1627543874	70,1096971055	295,121161534	9,0	105,0	 
cell proximal renal tubular	renal proximal tubular cells	renal proximal tubular cells	4	5,95713542369	34,648562585	275,258258298	5,0	91,0	 
effective treatment	effective treatment	effective treatment|&|effective treatments	2	7,86819688189	43,5746529293	130,386139895	7,0	123,0	 
proximal tubule	proximal tubules	proximal tubules|&|proximal tubule	2	17,3100331402	87,7284580462	175,765027122	9,0	172,0	 
breast cancer cohort patient	cohort of breast cancer patients	cohort of breast cancer patients	5	3,9714236158	24,709315429	252,516288394	2,0	55,0	 
activity receptor	receptor activity	receptor activity|&|activity of the receptor	2	9,44183625827	52,2895835152	159,192478952	7,0	117,0	 
case detailed genetic new	new case and detailed genetic	new case and detailed genetic	5	3,9714236158	24,709315429	253,648971008	2,0	22,0	 
level relative	relative levels	relative levels|&|level relative|&|relative level	2	7,86819688189	43,5746529293	172,89002201	5,0	71,0	 
model multivariate	multivariate model	multivariate model|&|multivariate models	2	4,72091812914	28,5563577056	311,085561384	3,0	51,0	 
inhibitor protease serine	serine protease inhibitor	serine protease inhibitor	3	5,95713542369	34,648562585	199,846953589	7,0	91,0	 
cancer cell head neck	head and neck cancer cells	head and neck cancer cells	5	9,92855903949	52,6758419438	352,999702554	5,0	61,0	 
accurate nodal staging	accurate nodal staging	accurate nodal staging|&|Accurate nodal staging	3	5,95713542369	34,648562585	89,9279617977	3,0	58,0	 
expression inducibility	expression and inducibility	expression and inducibility	3	4,72091812914	28,5563577056	118,004877988	3,0	23,0	 
dorsal thalamus	dorsal thalamus	dorsal thalamus	2	7,86819688189	47,5939295094	81,0279874541	3,0	44,0	 
transport tubal	tubal transport	tubal transport	2	9,44183625827	67,4856327522	413,393746445	1,0	10,0	 
effect side	side effects	side effects	2	12,589115011	63,8025149427	359,175042515	8,0	109,0	 
egg envelope	egg envelope	egg envelope|&|egg envelopes	2	9,44183625827	60,9410505705	326,765337058	4,0	43,0	 
accuracy success	success and accuracy	success and accuracy|&|accuracy and success	3	4,72091812914	28,5563577056	207,215744347	3,0	55,0	 
mapping node sentinel	Sentinel node mapping	Sentinel node mapping|&|sentinel node mapping	3	5,95713542369	34,648562585	1204,82240811	15,0	172,0	 
human oocyte	human oocytes	human oocytes	2	4,72091812914	28,5563577056	192,275721885	3,0	32,0	 
suppressor tumor	tumor suppressor	tumor suppressor	2	15,7363937638	76,2416688891	191,681070562	25,0	430,0	 
change expression gene	gene expression changes	gene expression changes|&|changes gene expression|&|changes in gene expression	3	9,92855903949	52,6758419438	193,269262093	7,0	117,0	 
MCF-7 cell line murine	MCF-7 cell line and a murine	MCF-7 cell line and a murine	6	3,9714236158	24,709315429	429,218834184	2,0	27,0	 
axillary breast cancer dissection elective	elective axillary dissection for breast cancer	elective axillary dissection for breast cancer	6	3,9714236158	24,709315429	182,403931486	2,0	26,0	 
hypoxia intermittent vivo	vivo intermittent hypoxia	vivo intermittent hypoxia	3	3,9714236158	24,709315429	901,809888039	2,0	11,0	 
activity level	activity levels	activity levels	2	7,86819688189	45,330390324	257,278316417	4,0	44,0	 
cell differentiation	cell differentiation	cell differentiation|&|differentiation of cells|&|cells differentiation	2	34,6200662803	145,510647474	265,622863522	46,0	720,0	 
ABCB5 blood patient peripheral	ABCB5 in peripheral blood of a patient	ABCB5 in peripheral blood of a patient	7	3,9714236158	24,709315429	77,7502214358	2,0	20,0	 
colloid particle tin	tin colloid particles	tin colloid particles	3	5,95713542369	41,1931447667	387,012540206	1,0	16,0	 
differential expression result	result of differential expression	result of differential expression	4	3,9714236158	24,709315429	304,631449767	2,0	28,0	 
model regression	regression models	regression models|&|regression model	2	9,44183625827	50,5681332296	281,425384799	14,0	195,0	 
developmental expression phenotype	expression of developmental phenotypes	expression of developmental phenotypes	4	3,9714236158	27,4620965111	89,9475071122	1,0	16,0	 
expression pattern	expression patterns	expression patterns|&|expression pattern|&|Expression pattern|&|Expression patterns|&|pattern of expression|&|patterns of expression	2	91,27108383	295,306536932	308,917099513	76,0	1213,0	 
function pleiotropic	pleiotropic functions	pleiotropic functions	2	6,29455750551	38,0751436075	140,21509076	3,0	46,0	 
cortical size	cortical size	cortical size	2	6,29455750551	40,627367047	404,955687014	2,0	17,0	 
breast cancer melanoma	melanoma and breast cancer	melanoma and breast cancer|&|breast cancer and melanoma|&|breast cancers and melanomas|&|breast cancer or melanoma	4	25,8142535027	112,291374387	198,018604948	13,0	245,0	 
axis long	long axis	long axis	2	6,29455750551	36,2643122592	168,405276026	4,0	27,0	 
cell death	cell death	cell death	2	75,5346900662	280,499902836	216,68169524	37,0	542,0	 
heat protein several shock	several heat shock proteins	several heat shock proteins	4	3,9714236158	24,709315429	125,675504169	2,0	36,0	 
cell cycle progression	cell cycle progression	cell cycle progression	3	19,857118079	93,6799346774	890,249783423	15,0	225,0	 
lymph node station	lymph node stations	lymph node stations|&|lymph node station	3	5,95713542369	34,648562585	145,14205583	3,0	35,0	 
activation receptor	receptor activation	receptor activation	2	4,72091812914	28,5563577056	171,960877452	3,0	44,0	 
differential response	Differential response	Differential response|&|differential response	2	4,72091812914	28,5563577056	70,1905937361	3,0	41,0	 
challenge management optimal	Optimal management and challenges	Optimal management and challenges	4	3,9714236158	24,709315429	161,083016962	2,0	18,0	 
axillary status	axillary status	axillary status|&|Axillary status	2	11,0154756347	58,9961554345	152,875901015	10,0	170,0	 
concentration-dependent manner	concentration-dependent manner	concentration-dependent manner	2	7,86819688189	43,5746529293	130,918238949	5,0	101,0	 
eye mouse	mouse eye	mouse eye|&|eye mouse	2	4,72091812914	28,5563577056	206,202793085	6,0	115,0	 
lymphadenectomy standard	standard lymphadenectomy	standard lymphadenectomy	2	4,72091812914	28,5563577056	132,444754466	3,0	74,0	 
disease recurrent	recurrent disease	recurrent disease|&|Recurrent disease	2	9,44183625827	52,2895835152	114,325906949	5,0	68,0	 
glutamatergic neuron	glutamatergic neurons	glutamatergic neurons|&|glutamatergic neuron	2	6,29455750551	36,2643122592	149,612562241	6,0	64,0	 
camera gamma mobile	mobile gamma camera	mobile gamma camera	3	3,9714236158	24,709315429	515,264626956	2,0	20,0	 
analysis mutation	mutation analysis	mutation analysis	2	17,3100331402	83,865835778	129,637724186	10,0	123,0	 
cell hydroxyurea line nontransformed	hydroxyurea in nontransformed cell lines	hydroxyurea in nontransformed cell lines	5	3,9714236158	24,709315429	339,119459299	2,0	55,0	 
conservation sequence	sequence conservation	sequence conservation	2	4,72091812914	28,5563577056	174,026324018	3,0	54,0	 
adult attention-deficit child	adult and child attention-deficit	adult and child attention-deficit	4	3,9714236158	24,709315429	151,602123833	2,0	20,0	 
important role	important roles	important roles	2	18,8836725165	88,0471020957	113,195150716	14,0	189,0	 
acid decarboxylase67 epigenetic glutamic methionine-induced model mouse promoter remodeling schizophrenia	glutamic acid decarboxylase67 promoter remodeling in an epigenetic methionine-induced mouse model of schizophrenia	glutamic acid decarboxylase67 promoter remodeling in an epigenetic methionine-induced mouse model of schizophrenia	13	3,9714236158	24,709315429	964,387312646	2,0	12,0	 
cell retinal type	retinal cell types	retinal cell types	3	7,94284723159	43,9130686939	198,932920877	4,0	79,0	 
cell epithelial serum stimulation	epithelial cell stimulation by serum	epithelial cell stimulation by serum	5	3,9714236158	24,709315429	106,801109684	2,0	36,0	 
crush injury	crush injury	crush injury	2	4,72091812914	33,7428163761	707,559776739	1,0	15,0	 
desmoplastic melanoma neck	neck desmoplastic melanoma	neck desmoplastic melanoma	3	3,9714236158	24,709315429	273,965892178	2,0	13,0	 
development pituitary	pituitary development	pituitary development	2	6,29455750551	38,0751436075	142,614195239	3,0	47,0	 
125I-labeled epidermal factor growth	125I-labeled epidermal growth factor	125I-labeled epidermal growth factor	4	5,95713542369	37,0639731435	114,836598788	2,0	41,0	 
case negative	negative cases	negative cases|&|cases negative	2	6,29455750551	36,2643122592	427,152562029	4,0	48,0	 
artificial basement coat filter membrane	artificial basement membrane coated filter	artificial basement membrane coated filter	5	3,9714236158	27,4620965111	144,92396029	1,0	21,0	 
point same	same point	same point|&|same points	2	4,72091812914	28,5563577056	121,05324066	3,0	43,0	 
methylation promoter status	methylation status of the promoter	methylation status of the promoter|&|promoter methylation status	5	3,9714236158	24,709315429	184,395585732	2,0	40,0	 
factor islet transcription	islet transcription factor	islet transcription factor|&|transcription factors in islets|&|islet transcription factors	3	5,95713542369	34,648562585	170,108350742	5,0	67,0	 
binding direct	direct binding	direct binding	2	7,86819688189	43,5746529293	151,942149182	5,0	94,0	 
biopsy patient	biopsy in patients	biopsy in patients|&|biopsy patients|&|biopsy in these patients	3	20,4573118929	93,746901968	240,834671888	16,0	206,0	 
c cytochrome epithelial kidney microinjection rat tubule	microinjection of cytochrome c in rat kidney tubule epithelial	microinjection of cytochrome c in rat kidney tubule epithelial	9	3,9714236158	24,709315429	158,618838826	2,0	17,0	 
axillary lymph metastasis node	axillary lymph node metastasis	axillary lymph node metastasis|&|metastases in axillary lymph nodes	4	15,8856944632	76,8150130593	577,802114748	8,0	111,0	 
Revolutionary impact lymphoscintigraphy	Revolutionary impact of lymphoscintigraphy	Revolutionary impact of lymphoscintigraphy	4	3,9714236158	24,709315429	197,962821258	2,0	17,0	 
component delivery density lipoprotein low siRNA	low density lipoprotein components for delivery of siRNA	low density lipoprotein components for delivery of siRNA	8	3,9714236158	24,709315429	676,348339556	2,0	16,0	 
injection lymphoscintigraphy sentinel	sentinel lymphoscintigraphy injections	sentinel lymphoscintigraphy injections|&|injections for sentinel lymphoscintigraphy	3	3,9714236158	24,709315429	140,627460693	2,0	25,0	 
canine complex cumulus-oocyte glycoproteins pellucida zona	zona pellucida glycoproteins in canine cumulus-oocyte complexes	zona pellucida glycoproteins in canine cumulus-oocyte complexes	7	3,9714236158	24,709315429	242,287838373	2,0	22,0	 
acid inhibition retinoic	retinoic acid or inhibition	retinoic acid or inhibition|&|retinoic acid and inhibition	4	3,9714236158	24,709315429	451,450202453	2,0	30,0	 
concentration same	same concentration	same concentration|&|same concentrations	2	6,29455750551	36,2643122592	382,430610099	4,0	59,0	 
functional m1 muscarinic receptor	functional m1 muscarinic receptor	functional m1 muscarinic receptor	4	3,9714236158	24,709315429	94,7397141921	2,0	28,0	 
mouse sarcoma virus	mouse sarcoma virus	mouse sarcoma virus	3	3,9714236158	24,709315429	202,113333701	2,0	35,0	 
glycoproteins hamster mouse pellucida zona	mouse and hamster zona pellucida glycoproteins	mouse and hamster zona pellucida glycoproteins|&|hamster and mouse zona pellucida glycoproteins	6	5,95713542369	34,648562585	229,607956016	3,0	47,0	 
SLN hot	hottest SLN	hottest SLN	2	9,44183625827	52,2895835152	549,313067775	5,0	36,0	 
degenerative disease retinal	retinal degenerative diseases	retinal degenerative diseases	3	3,9714236158	24,709315429	248,187596596	2,0	31,0	 
oncogenic stimulation	oncogenic stimulation	oncogenic stimulation	2	6,29455750551	40,627367047	386,887062442	2,0	29,0	 
effector function	effector functions	effector functions|&|effector function	2	12,589115011	65,483557002	701,965773985	11,0	151,0	 
nuclear phosphoprotein	nuclear phosphoprotein	nuclear phosphoprotein	2	4,72091812914	28,5563577056	336,769364127	3,0	33,0	 
cell vitality	cell vitality	cell vitality	2	4,72091812914	30,4705252852	482,165407584	2,0	15,0	 
extent lymphadenectomy	extent of lymphadenectomy	extent of lymphadenectomy	3	4,72091812914	28,5563577056	208,175693009	3,0	39,0	 
plate roof	roof plate	roof plate	2	6,29455750551	44,9904218348	124,096770375	1,0	15,0	 
domain repression	repression domain	repression domain|&|repression domains	2	4,72091812914	33,7428163761	90,3932257767	1,0	16,0	 
mouse wildtype	wildtype mice	wildtype mice	2	4,72091812914	28,5563577056	220,546477797	3,0	43,0	 
biomarkers cancer novel prostate	Novel biomarkers for prostate cancer	Novel biomarkers for prostate cancer	5	3,9714236158	24,709315429	541,665886169	2,0	11,0	 
Twenty-eight patient	Twenty-eight patients	Twenty-eight patients|&|Twenty-eight of these patients	2	6,29455750551	36,2643122592	261,961819427	4,0	48,0	 
failure heart	heart failure	heart failure	2	4,72091812914	28,5563577056	182,565018343	5,0	51,0	 
cell expression marker stem	expression of stem cell markers	expression of stem cell markers|&|Expression of stem cell markers	5	5,95713542369	34,648562585	67,1381292286	3,0	43,0	 
emission photon single	single photon emission	single photon emission	3	3,9714236158	24,709315429	168,135073252	2,0	19,0	 
affect individual	affected individuals	affected individuals	2	11,0154756347	57,2981123768	106,349794896	7,0	92,0	 
cell line neuroblastoma	neuroblastoma cell lines	neuroblastoma cell lines|&|neuroblastoma cell line	3	7,94284723159	43,9130686939	198,941828967	6,0	98,0	 
acute leukemia myelogenous	acute myelogenous leukemia	acute myelogenous leukemia	3	3,9714236158	24,709315429	468,700457943	2,0	15,0	 
immunity protective	protective immunity	protective immunity	2	11,0154756347	58,9961554345	165,561585455	10,0	114,0	 
effect opposite	opposite effects	opposite effects|&|opposite effect	2	7,86819688189	43,5746529293	196,429372837	5,0	79,0	 
high homogenization pressure	high pressure homogenization	high pressure homogenization	3	5,95713542369	34,648562585	217,074885516	3,0	46,0	 
frameshift mutation	frameshift mutation	frameshift mutation|&|frameshift mutations	2	11,0154756347	57,2981123768	154,440687984	7,0	92,0	 
adult retina	adult retina	adult retina	2	4,72091812914	28,5563577056	189,58228656	3,0	51,0	 
dose single	single dose	single dose	2	4,72091812914	28,5563577056	217,633071675	3,0	39,0	 
NRK-52e apoptosis cell epithelial rat renal	apoptosis in rat renal epithelial cells NRK-52e	apoptosis in rat renal epithelial cells NRK-52e	7	3,9714236158	24,709315429	302,703264399	2,0	33,0	 
disorder psychiatric	psychiatric disorders	psychiatric disorders	2	7,86819688189	45,330390324	145,849031905	4,0	66,0	 
powerful tool	powerful tool	powerful tool	2	4,72091812914	28,5563577056	219,61234268	3,0	72,0	 
carcinoma cell cutaneous squamous	cutaneous squamous cell carcinoma	cutaneous squamous cell carcinoma	4	3,9714236158	24,709315429	287,19370585	2,0	24,0	 
beta factor growth type	growth factor type beta	growth factor type beta	4	7,94284723159	43,9130686939	199,748033857	4,0	72,0	 
focus small	small foci	small foci	2	4,72091812914	28,5563577056	326,226699104	3,0	39,0	 
axillary node	axillary nodes	axillary nodes	2	18,8836725165	88,0471020957	125,330283093	12,0	229,0	 
Solid delivery drug lipid nanoparticles peptide system	Solid lipid nanoparticles as a drug delivery system for peptides	Solid lipid nanoparticles as a drug delivery system for peptides	10	3,9714236158	24,709315429	665,644472408	2,0	38,0	 
proline residue	proline residues	proline residues	2	4,72091812914	28,5563577056	73,6266220658	3,0	46,0	 
completion dissection node node-positive patient sentinel	Completion node dissection in patients with sentinel node-positive	Completion node dissection in patients with sentinel node-positive	8	3,9714236158	24,709315429	502,16339165	2,0	17,0	 
diabetic mouse	diabetic mice	diabetic mice	2	4,72091812914	28,5563577056	374,067881605	5,0	68,0	 
development important role	important role in the development	important role in the development|&|important role in development	5	5,95713542369	34,648562585	260,672445187	5,0	88,0	 
axillary dissection--follow lymph node	axillary lymph node dissection--follow	axillary lymph node dissection--follow	4	3,9714236158	24,709315429	158,887866132	2,0	39,0	 
Near-infrared biopsy cancer fluorescence lymph node sentinel vulvar	Near-infrared fluorescence sentinel lymph node biopsy in vulvar cancer	Near-infrared fluorescence sentinel lymph node biopsy in vulvar cancer	9	3,9714236158	24,709315429	522,522731344	2,0	24,0	 
expression selective	selective expression	selective expression	2	4,72091812914	30,4705252852	133,002251921	2,0	54,0	 
neuron sensory	sensory neurons	sensory neurons	2	7,86819688189	43,5746529293	68,5939626315	5,0	78,0	 
breast cancer patient recurrent	patients with recurrent breast cancer	patients with recurrent breast cancer	5	5,95713542369	34,648562585	300,446371082	3,0	49,0	 
diagnosis time	time of diagnosis	time of diagnosis	3	6,29455750551	36,2643122592	293,860897671	4,0	85,0	 
cell efficiency tolerance transfection	cell tolerance and the transfection efficiency	cell tolerance and the transfection efficiency|&|cell tolerance and transfection efficiency	6	3,9714236158	27,4620965111	115,24034908	1,0	29,0	 
branch external laryngeal nerve superior	external branch of the superior laryngeal nerve	external branch of the superior laryngeal nerve|&|superior laryngeal nerve external branch	7	3,9714236158	24,709315429	801,591404487	6,0	74,0	 
further investigation	further investigations	further investigations	2	6,29455750551	36,2643122592	147,563959202	4,0	81,0	 
analysis microarray	microarray analysis	microarray analysis|&|microarray analyses	2	31,4727875276	135,782987576	168,570941502	26,0	417,0	 
inflammation renal	renal inflammation	renal inflammation	2	7,86819688189	43,5746529293	142,770903447	5,0	78,0	 
MIO-M1 cell similar	MIO-M1 cells and similar	MIO-M1 cells and similar	4	3,9714236158	24,709315429	447,860854906	2,0	29,0	 
cell-cell contact	cell-cell contact	cell-cell contact|&|cell-cell contacts	2	26,7518693984	129,610837111	346,946001935	12,0	180,0	 
Western blot	Western blot	Western blot|&|Western blots	2	17,3100331402	83,865835778	143,693720475	10,0	145,0	 
breast lesion nonpalpable	nonpalpable breast lesions	nonpalpable breast lesions	3	5,95713542369	34,648562585	348,18224155	3,0	38,0	 
cell type-specific	cell type-specific	cell type-specific	2	4,72091812914	28,5563577056	228,876270711	7,0	111,0	 
cytology evaluation imprint intraoperative	intraoperative imprint cytology evaluation	intraoperative imprint cytology evaluation	4	3,9714236158	24,709315429	393,327765738	2,0	16,0	 
accuracy lymph node sentinel	accuracy of sentinel lymph node	accuracy of sentinel lymph node	5	3,9714236158	24,709315429	261,911801186	2,0	30,0	 
gold standard	gold standard	gold standard|&|Gold standard	2	17,3100331402	83,865835778	224,271808125	10,0	162,0	 
oxygen reactive specie	reactive oxygen species	reactive oxygen species	3	19,857118079	91,5877784771	384,75268295	13,0	219,0	 
kidney normal	normal kidney	normal kidney	2	9,44183625827	54,3964683888	291,332142875	4,0	61,0	 
Intraoperative cytology evaluation imprint lymph node sentinel	Intraoperative imprint cytology for evaluation of sentinel lymph nodes	Intraoperative imprint cytology for evaluation of sentinel lymph nodes	9	3,9714236158	24,709315429	217,829825478	2,0	26,0	 
dye uptake	dye uptake	dye uptake	2	7,86819688189	50,7842088087	178,582566874	2,0	47,0	 
impact oxidative property stability surfactant	Impact of surfactant properties on oxidative stability	Impact of surfactant properties on oxidative stability	7	3,9714236158	24,709315429	223,576479917	2,0	39,0	 
formation synapse	synapse formation	synapse formation	2	20,4573118929	106,410780128	102,407999415	7,0	94,0	 
nerve optic	optic nerve	optic nerve	2	4,72091812914	28,5563577056	90,1474849406	5,0	95,0	 
cell presumptive sperm stem	stem cells into both presumptive sperm cells	stem cells into both presumptive sperm cells	7	3,9714236158	24,709315429	461,713243709	2,0	33,0	 
injury ischemia-reperfusion	ischemia-reperfusion injury	ischemia-reperfusion injury	2	4,72091812914	28,5563577056	213,995421403	5,0	82,0	 
abnormality brain human	brain abnormalities in humans	brain abnormalities in humans	4	3,9714236158	24,709315429	183,620380675	2,0	20,0	 
detection disease metastatic	detection of metastatic disease	detection of metastatic disease	4	5,95713542369	34,648562585	1056,1791548	3,0	39,0	 
fiber myelinated	myelinated fibers	myelinated fibers	2	11,0154756347	71,0978923322	182,966041233	2,0	18,0	 
adult neural progenitor	adult neural progenitors	adult neural progenitors	3	5,95713542369	34,648562585	158,888114108	3,0	55,0	 
Biomarkers carcinoma cell renal	Biomarkers of renal cell carcinoma	Biomarkers of renal cell carcinoma	5	3,9714236158	24,709315429	781,029185255	2,0	15,0	 
anion exchanger	anion exchanger	anion exchanger|&|anion exchangers	2	9,44183625827	52,2895835152	309,724718914	9,0	120,0	 
injury ischemia rat simulated tubular	simulated ischemia injury in the rat tubular	simulated ischemia injury in the rat tubular|&|simulated ischemia injury in rat tubular	7	3,9714236158	27,4620965111	181,264846676	1,0	15,0	 
binary lipid matrix study	Studies on binary lipid matrix	Studies on binary lipid matrix	5	3,9714236158	24,709315429	553,01008184	2,0	25,0	 
99m colloid concordance peritumoral technetium	Concordance of peritumoral technetium 99m colloid	Concordance of peritumoral technetium 99m colloid	6	3,9714236158	24,709315429	301,470198596	2,0	28,0	 
lipid mean nanoparticles solid	means of solid lipid nanoparticles	means of solid lipid nanoparticles	5	3,9714236158	24,709315429	347,852773416	4,0	44,0	 
thickness tumor	tumor thickness	tumor thickness|&|tumor thicknesses	2	37,7673450331	162,939585092	396,381304634	22,0	337,0	 
breast cancer invasive patient predictor	Predictors of invasive breast cancer in patients	Predictors of invasive breast cancer in patients	7	3,9714236158	24,709315429	394,152565514	2,0	39,0	 
cell quiescent	quiescent cells	quiescent cells|&|Quiescent cells	2	14,1627543874	75,8521998443	195,417895978	6,0	91,0	 
cell neuroendocrine pulmonary	pulmonary neuroendocrine cells	pulmonary neuroendocrine cells	3	5,95713542369	34,648562585	263,635407957	3,0	54,0	 
blood sample	blood samples	blood samples|&|samples of blood	2	9,44183625827	50,5681332296	244,999057087	8,0	120,0	 
astroglia-derived neuron	astroglia-derived neurons	astroglia-derived neurons	2	4,72091812914	33,7428163761	118,961562406	1,0	15,0	 
amoxicillin antagonist combination	antagonist in combination with amoxicillin	antagonist in combination with amoxicillin	5	3,9714236158	24,709315429	96,9877869034	2,0	15,0	 
T1 charge recombination state	charge recombination via the T1 state	charge recombination via the T1 state	6	3,9714236158	24,709315429	420,334468137	2,0	38,0	 
receptor sperm	sperm receptor	sperm receptor|&|sperm receptors|&|Sperm receptor	2	18,8836725165	91,4900026669	234,048087785	17,0	278,0	 
21st Breast cancer century surgery	Breast cancer surgery for the 21st century	Breast cancer surgery for the 21st century	7	3,9714236158	24,709315429	251,436673127	2,0	31,0	 
intestinal kidney rat	rat kidney and intestinal	rat kidney and intestinal	4	3,9714236158	24,709315429	131,12680656	2,0	30,0	 
application clinical detection lymph node sentinel	Clinical application of sentinel lymph node detection	Clinical application of sentinel lymph node detection	7	3,9714236158	24,709315429	479,858057898	2,0	35,0	 
breast cancer molecular subtype	breast cancer molecular subtypes	breast cancer molecular subtypes|&|molecular subtypes of breast cancer	4	3,9714236158	24,709315429	342,246240279	2,0	26,0	 
central nervous system	central nervous system	central nervous system	3	35,7428125422	143,84885268	171,502331474	22,0	342,0	 
neuronal positioning	neuronal positioning	neuronal positioning	2	4,72091812914	28,5563577056	70,0915136392	3,0	33,0	 
functional property	functional properties	functional properties	2	6,29455750551	36,2643122592	77,5537096091	4,0	79,0	 
distal injury ischemia-reperfusion kidney rat tubule	distal tubules of rat kidneys with ischemia-reperfusion injury	distal tubules of rat kidneys with ischemia-reperfusion injury	8	3,9714236158	24,709315429	312,795514943	2,0	35,0	 
development eye normal	normal eye development	normal eye development|&|normal development of the eyes	3	7,94284723159	46,1980834466	112,45543178	3,0	50,0	 
cell rat renal tubular	rat renal tubular cells	rat renal tubular cells	4	5,95713542369	34,648562585	1087,03318893	7,0	86,0	 
axillary breast cancer low node sampling	low axillary node sampling for breast cancer	low axillary node sampling for breast cancer	7	3,9714236158	24,709315429	139,429363554	2,0	24,0	 
characteristic curve	characteristic curve	characteristic curve|&|characteristic curves	2	14,1627543874	70,1096971055	368,207936744	9,0	103,0	 
fibrotic pressure-induced response rosuvastatin	rosuvastatin on pressure-induced fibrotic responses	rosuvastatin on pressure-induced fibrotic responses	5	3,9714236158	27,4620965111	323,590860585	1,0	21,0	 
multidrug protein resistance	multidrug resistance proteins	multidrug resistance proteins	3	3,9714236158	24,709315429	165,019233696	4,0	67,0	 
cell renal tubular	renal tubular cells	renal tubular cells	3	15,8856944632	76,8150130593	190,776546729	13,0	152,0	 
metastatic potential	metastatic potential	metastatic potential	2	6,29455750551	38,0751436075	127,75250401	3,0	33,0	 
Reoperative biopsy lymph node patient sentinel	Reoperative sentinel lymph node biopsy in patients	Reoperative sentinel lymph node biopsy in patients	7	3,9714236158	24,709315429	141,614410968	2,0	24,0	 
nuclear uptake	nuclear uptake	nuclear uptake	2	6,29455750551	40,627367047	288,159940892	2,0	38,0	 
cell human neural stem	human neural stem cells	human neural stem cells	4	3,9714236158	24,709315429	175,548655356	2,0	37,0	 
line new	new lines	new lines	2	6,29455750551	40,627367047	467,868677532	2,0	12,0	 
NRK-52E epithelial tubule	tubule epithelial NRK-52E	tubule epithelial NRK-52E	3	3,9714236158	24,709315429	309,576523963	2,0	35,0	 
insect vertebrate	vertebrates and insects	vertebrates and insects|&|insects and vertebrates|&|insect and vertebrate	3	4,72091812914	28,5563577056	226,53790373	3,0	58,0	 
pellucida zona	zona pellucida	zona pellucida	2	59,7982963024	245,351752601	176,768880656	72,0	903,0	 
cervical lymph management node	management of cervical lymph nodes	management of cervical lymph nodes	5	3,9714236158	24,709315429	343,611717268	2,0	46,0	 
cell glucagon-producing line	glucagon-producing cell line	glucagon-producing cell line	3	3,9714236158	24,709315429	100,15578151	2,0	26,0	 
Functional factor islet role transcription	Functional role of an islet transcription factor	Functional role of an islet transcription factor	7	3,9714236158	24,709315429	171,923012477	2,0	13,0	 
gene mouse	mouse genes	mouse genes|&|mouse gene|&|genes from mouse	2	4,72091812914	28,5563577056	180,603060186	3,0	27,0	 
cell putative stem	putative stem cells	putative stem cells	3	3,9714236158	24,709315429	256,741024388	2,0	12,0	 
operation second	second operation	second operation	2	11,0154756347	57,2981123768	267,858875632	7,0	93,0	 
day embryonic	embryonic day	embryonic day|&|embryonic days	2	25,1782300221	110,152810734	289,23010179	16,0	260,0	 
effect significant	significant effect	significant effect|&|significant effects	2	15,7363937638	77,8996634506	160,2307518	9,0	121,0	 
course same time	same time course	same time course	3	3,9714236158	24,709315429	133,371810185	2,0	21,0	 
low risk	low risk	low risk|&|lower risk	2	15,7363937638	77,8996634506	312,033815515	13,0	195,0	 
